# FFUF Report

  Command line : `ffuf -u https://admin.dev.audiomanager.axis.com/FUZZ -w /usr/share/wordlists/dirb/big.txt -mc 200,204,301,302,307,401,403 -o /home/openclaw/.openclaw/workspace/bugbounty/scans/axis_admin_fuzz.txt -of md -t 20 -v -sf`
  Time: 2026-05-20T05:47:46&#43;07:00

  | FUZZ | URL | Redirectlocation | Position | Status Code | Content Length | Content Words | Content Lines | Content Type | Duration | ResultFile | ScraperData | Ffufhash
  | :- | :-- | :--------------- | :---- | :------- | :---------- | :------------- | :------------ | :--------- | :----------- | :------------ | :-------- |
  | !backup | https://admin.dev.audiomanager.axis.com/!backup |  | 4 | 200 | 607 | 90 | 21 | text/html | 594.786321ms |  |  | 681d44
  | .history | https://admin.dev.audiomanager.axis.com/.history |  | 14 | 200 | 607 | 90 | 21 | text/html | 595.578401ms |  |  | 681d4e
  | .cvs | https://admin.dev.audiomanager.axis.com/.cvs |  | 11 | 200 | 607 | 90 | 21 | text/html | 593.289248ms |  |  | 681d4b
  | .perf | https://admin.dev.audiomanager.axis.com/.perf |  | 19 | 200 | 607 | 90 | 21 | text/html | 595.676296ms |  |  | 681d413
  | .passwd | https://admin.dev.audiomanager.axis.com/.passwd |  | 18 | 200 | 607 | 90 | 21 | text/html | 594.328266ms |  |  | 681d412
  | .listing | https://admin.dev.audiomanager.axis.com/.listing |  | 17 | 200 | 607 | 90 | 21 | text/html | 596.746502ms |  |  | 681d411
  | ! | https://admin.dev.audiomanager.axis.com/! |  | 1 | 200 | 607 | 90 | 21 | text/html | 597.616964ms |  |  | 681d41
  | .forward | https://admin.dev.audiomanager.axis.com/.forward |  | 13 | 200 | 607 | 90 | 21 | text/html | 597.396136ms |  |  | 681d4d
  | !_archives | https://admin.dev.audiomanager.axis.com/!_archives |  | 2 | 200 | 607 | 90 | 21 | text/html | 595.968731ms |  |  | 681d42
  | .profile | https://admin.dev.audiomanager.axis.com/.profile |  | 20 | 200 | 607 | 90 | 21 | text/html | 597.783603ms |  |  | 681d414
  | !_images | https://admin.dev.audiomanager.axis.com/!_images |  | 3 | 200 | 607 | 90 | 21 | text/html | 600.647193ms |  |  | 681d43
  | .bashrc | https://admin.dev.audiomanager.axis.com/.bashrc |  | 10 | 200 | 607 | 90 | 21 | text/html | 594.677886ms |  |  | 681d4a
  | .bash_history | https://admin.dev.audiomanager.axis.com/.bash_history |  | 9 | 200 | 607 | 90 | 21 | text/html | 597.545594ms |  |  | 681d49
  | .htpasswd | https://admin.dev.audiomanager.axis.com/.htpasswd |  | 16 | 200 | 607 | 90 | 21 | text/html | 601.437631ms |  |  | 681d410
  | !res | https://admin.dev.audiomanager.axis.com/!res |  | 6 | 200 | 607 | 90 | 21 | text/html | 599.844036ms |  |  | 681d46
  | !ut | https://admin.dev.audiomanager.axis.com/!ut |  | 8 | 200 | 607 | 90 | 21 | text/html | 599.46373ms |  |  | 681d48
  | !images | https://admin.dev.audiomanager.axis.com/!images |  | 5 | 200 | 607 | 90 | 21 | text/html | 600.031806ms |  |  | 681d45
  | .cvsignore | https://admin.dev.audiomanager.axis.com/.cvsignore |  | 12 | 200 | 607 | 90 | 21 | text/html | 599.848879ms |  |  | 681d4c
  | !textove_diskuse | https://admin.dev.audiomanager.axis.com/!textove_diskuse |  | 7 | 200 | 607 | 90 | 21 | text/html | 599.451888ms |  |  | 681d47
  | .rhosts | https://admin.dev.audiomanager.axis.com/.rhosts |  | 21 | 200 | 607 | 90 | 21 | text/html | 19.313791ms |  |  | 681d415
  | .ssh | https://admin.dev.audiomanager.axis.com/.ssh |  | 22 | 200 | 607 | 90 | 21 | text/html | 19.380365ms |  |  | 681d416
  | .subversion | https://admin.dev.audiomanager.axis.com/.subversion |  | 23 | 200 | 607 | 90 | 21 | text/html | 18.817329ms |  |  | 681d417
  | .web | https://admin.dev.audiomanager.axis.com/.web |  | 25 | 200 | 607 | 90 | 21 | text/html | 19.244375ms |  |  | 681d419
  | 0-12 | https://admin.dev.audiomanager.axis.com/0-12 |  | 28 | 200 | 607 | 90 | 21 | text/html | 19.412502ms |  |  | 681d41c
  | 0000 | https://admin.dev.audiomanager.axis.com/0000 |  | 38 | 200 | 607 | 90 | 21 | text/html | 18.788524ms |  |  | 681d426
  | 00-img | https://admin.dev.audiomanager.axis.com/00-img |  | 33 | 200 | 607 | 90 | 21 | text/html | 19.390256ms |  |  | 681d421
  | 00-cache | https://admin.dev.audiomanager.axis.com/00-cache |  | 32 | 200 | 607 | 90 | 21 | text/html | 19.648872ms |  |  | 681d420
